"","Plate","Day","Day_number_by_exp","Exp_day_after","Number","Day_number","Date.x","Year","Dark_condition","Time","Strain","Video_1","OBS","USE","Time_dry","Num_Adults","Num_other","Microliters_counting","Treatment","Height_base","Height","Angle_length","Length","Width","Pillar_height","Pillar_angle","Pillar_length","Pillar_width","Sociality","Procedence","Conc","Conc_T","Timehms","Time_minutes","Filming_number","count_all","count","Corrected_length","Corrected_height","Pillar_angle_absolute","Angle_length_absolute","Zero_time_minutes","First_base","Time_Span_from_first","Time_Span_from_zero","Time_Span","Tw_height_Span","Tw_length_Span","Corrected_height_Span","Corrected_length_Span","growth_length","growth_height","growth_corrected_length","growth_corrected_height","Length_nobase","Height_nobase","Tw_area","Tw_area_corrected","Num_Adults_1mu","Num_Other_1mu","Prop_A_others","Mean_height","Median_height"
"46","18",2,26,"E",67,26,"05. May",2023,"N",13:55:00,"N2","MVI_5446",NA,"Y","11:45",24.33333333,80.33333333,5,"3.MIX",0.585,3.81,-1.231,3.755,0.806,4.561,-3.742,4.522,0.189,"2Non_social","2Lab","2 _ 18","3.MIX _ N2",13H 55M 0S,835,1,7,7,0.830384785493145,0.835343126507345,3.742,1.231,726,0.585,0,109,0,0,0,0,0,0,0,0,0,3.17,3.225,3.02653,0.669290137107475,4.866666666,16.066666666,0.232484076416082,3.63233333333333,3.627
"47","2",2,14,"E",55,14,"05. May",2023,"N",13:55:00,"N2","MVI_5434",NA,"Y","11:45",24.33333333,80.33333333,5,"3.MIX",0.807,2.718,10.773,2.783,0.419,3.213,6.924,3.195,0.144,"2Non_social","2Lab","2 _ 2","3.MIX _ N2",13H 55M 0S,835,1,7,7,0.871048513302034,0.84593837535014,6.924,10.773,726,0.807,0,109,0,0,0,0,0,0,0,0,0,1.976,1.911,1.166077,0.364969327073552,4.866666666,16.066666666,0.232484076416082,2.83833333333333,2.783
"48","21",2,53,"E",94,53,"05. May",2023,"N",14:48:00,"N2","MVI_5473",NA,"Y","11:45",24.33333333,80.33333333,5,"3.MIX",0.444,2.363,1.639,2.396,0.388,6.431,1.309,6.457,0.201,"2Non_social","2Lab","2 _ 21","3.MIX _ N2",14H 48M 0S,888,1,6,6,0.37107015641939,0.367438967501166,1.309,1.639,726,0.444,0,162,0,0,0,0,0,0,0,0,0,1.952,1.919,0.929648,0.143975220690723,4.866666666,16.066666666,0.232484076416082,3.07,3.048
"49","23",2,11,"E",52,11,"05. May",2023,"N",12:47:00,"CB","MVI_5431",NA,"Y","11:45",9.333333333,85,5,"3.MIX",0.351,2.012,9.241,2.059,0.446,5.832,5.106,5.756,0.177,"1Social","1Wild","2 _ 23","3.MIX _ CB",12H 47M 0S,767,1,8,8,0.357713690062543,0.344993141289438,5.106,9.241,726,0.351,0,41,0,0,0,0,0,0,0,0,0,1.708,1.661,0.918314,0.159540305767894,1.8666666666,17,0.098939929325438,3.77566666666667,4.435
"50","26",2,22,"E",63,22,"05. May",2023,"N",13:55:00,"CB","MVI_5442",NA,"Y","11:45",9.333333333,85,5,"3.MIX",0.383,4.098,-2.916,4.122,0.306,4.533,-2.852,4.53,0.189,"1Social","1Wild","2 _ 26","3.MIX _ CB",13H 55M 0S,835,1,7,7,0.909933774834437,0.904037061548643,2.852,2.916,726,0.383,0,109,0,0,0,0,0,0,0,0,0,3.739,3.715,1.261332,0.278439735099338,1.8666666666,17,0.098939929325438,4.24366666666667,4.122
"51","27",2,21,"E",62,21,"05. May",2023,"N",13:55:00,"N2","MVI_5441",NA,"Y","11:45",24.33333333,80.33333333,5,"3.MIX",0.472,2.351,-2.629,2.373,0.472,5.013,-4.941,4.949,0.215,"2Non_social","2Lab","2 _ 27","3.MIX _ N2",13H 55M 0S,835,1,7,7,0.47949080622348,0.468980650309196,4.941,2.629,726,0.472,0,109,0,0,0,0,0,0,0,0,0,1.901,1.879,1.120056,0.226319660537482,4.866666666,16.066666666,0.232484076416082,3.13966666666667,3.399
"52","29",2,9,"E",50,9,"05. May",2023,"N",12:47:00,"CB","MVI_5429",NA,"Y","11:45",9.333333333,85,5,"3.MIX",0.298,3.146,1.184,3.122,0.505,6.07,1.126,6.05,0.209,"1Social","1Wild","2 _ 29","3.MIX _ CB",12H 47M 0S,767,1,8,8,0.51603305785124,0.51828665568369,1.126,1.184,726,0.298,0,41,0,0,0,0,0,0,0,0,0,2.824,2.848,1.57661,0.260596694214876,1.8666666666,17,0.098939929325438,3.90133333333333,4.255
"53","3",2,107,"E",148,107,"05. May",2023,"N",16:46:00,"N2","MVI_5528",NA,"Y","11:45",24.33333333,80.33333333,5,"3.MIX",0.589,3.746,-0.495,3.734,0.9,4.28,-4.349,4.324,0.246,"2Non_social","2Lab","2 _ 3","3.MIX _ N2",16H 46M 0S,1006,2,5,4,0.863552266419982,0.875233644859813,4.349,0.495,726,0.589,0,280,0,0,0,0,0,0,0,0,0,3.145,3.157,3.3606,0.777197039777983,4.866666666,16.066666666,0.232484076416082,3.9865,3.9865
"54","30",2,1,"E",42,1,"05. May",2023,"N",12:06:00,"CB","MVI_5421",NA,"Y","11:45",9.333333333,85,5,"3.MIX",0.27,4.194,1.644,4.215,0.223,4.984,3.649,5.022,0.193,"1Social","1Wild","2 _ 30","3.MIX _ CB",12H 6M 0S,726,1,9,9,0.839307048984468,0.841492776886035,3.649,1.644,726,0.27,0,0,0,0,0,0,0,0,0,0,0,3.945,3.924,0.939945,0.187165471923536,1.8666666666,17,0.098939929325438,4.266,4.215
"55","31",2,7,"E",48,7,"05. May",2023,"N",12:47:00,"CB","MVI_5427",NA,"Y","11:45",9.333333333,85,5,"3.MIX",0.492,2.21,-5.998,2.238,0.328,3.279,-4.752,3.265,0.193,"1Social","1Wild","2 _ 31","3.MIX _ CB",12H 47M 0S,767,1,8,8,0.685451761102603,0.673985971332723,4.752,5.998,726,0.492,0,41,0,0,0,0,0,0,0,0,0,1.746,1.718,0.734064,0.224828177641654,1.8666666666,17,0.098939929325438,3.13033333333333,3.566
"56","32",2,33,"E",74,33,"05. May",2023,"N",13:55:00,"CB","MVI_5453",NA,"Y","11:45",9.333333333,85,5,"3.MIX",0.157,1.178,-6.835,1.186,0.198,4.066,-5.825,4.078,0.177,"1Social","1Wild","2 _ 32","3.MIX _ CB",13H 55M 0S,835,1,6,6,0.290828837665522,0.289719626168224,5.825,6.835,726,0.157,0,109,0,0,0,0,0,0,0,0,0,1.029,1.021,0.234828,0.0575841098577734,1.8666666666,17,0.098939929325438,2.70933333333333,3.436
"57","35",2,37,"E",78,37,"05. May",2023,"N",14:48:00,"CB","MVI_5457",NA,"Y","11:45",9.333333333,85,5,"3.MIX",0.536,5.428,-0.555,5.416,0.782,5.115,4.645,5.111,0.197,"1Social","1Wild","2 _ 35","3.MIX _ CB",14H 48M 0S,888,1,6,6,1.05967521033066,1.06119257086999,4.645,0.555,726,0.536,0,162,0,0,0,0,0,0,0,0,0,4.88,4.892,4.235312,0.828666014478576,1.8666666666,17,0.098939929325438,5.27166666666667,5.416
"58","36",2,35,"E",76,35,"05. May",2023,"N",13:55:00,"N2","MVI_5455",NA,"Y","11:45",24.33333333,80.33333333,5,"3.MIX",0.524,3.21,-2.963,3.198,0.605,4.336,-0.488,4.332,0.14,"2Non_social","2Lab","2 _ 36","3.MIX _ N2",13H 55M 0S,835,1,7,7,0.738227146814404,0.740313653136531,0.488,2.963,726,0.524,0,109,0,0,0,0,0,0,0,0,0,2.674,2.686,1.93479,0.446627423822715,4.866666666,16.066666666,0.232484076416082,3.60866666666667,3.8
"59","8",2,42,"E",83,42,"05. May",2023,"N",14:48:00,"N2","MVI_5462",NA,"Y","11:45",24.33333333,80.33333333,5,"3.MIX",0.431,1.339,-2.444,1.324,0.315,3.225,-1.817,3.231,0.201,"2Non_social","2Lab","2 _ 8","3.MIX _ N2",14H 48M 0S,888,1,6,6,0.409780253791396,0.415193798449612,1.817,2.444,726,0.431,0,162,0,0,0,0,0,0,0,0,0,0.893,0.908,0.41706,0.12908077994429,4.866666666,16.066666666,0.232484076416082,2.18466666666667,2.528
"60","1",3,1,"E",260,1,"08. May",2023,"Y",12:16:00,"CB","MVI_5651",NA,"Y","12:06",NA,NA,5,"1.D1A",0.378,2.968,-6.229,2.975,0.666,5.118,-8.838,5.095,0.193,"1Social","1Wild","3 _ 1","1.D1A _ CB",12H 16M 0S,736,1,4,4,0.583905789990186,0.579914028917546,8.838,6.229,736,0.378,0,0,0,0,0,0,0,0,0,0,0,2.597,2.59,1.98135,0.388881256133464,NA,NA,NA,3.479,3.438
"61","11",3,10,"E",269,10,"08. May",2023,"Y",12:16:00,"CB","MVI_5660",NA,"Y","12:06",11.13,NA,5,"1.D1A",0.226,2.114,12.569,2.137,0.731,2.573,-8.259,2.592,0.107,"1Social","1Wild","3 _ 11","1.D1A _ CB",12H 16M 0S,736,1,4,4,0.82445987654321,0.821609016712009,8.259,12.569,736,0.226,0,0,0,0,0,0,0,0,0,0,0,1.911,1.888,1.562147,0.602680169753086,2.226,NA,NA,2.39833333333333,2.465
"62","13",3,12,"E",271,12,"08. May",2023,"Y",12:16:00,"N2","MVI_5662",NA,"Y","12:06",11,NA,5,"1.D1A",0.385,2.194,8.35,2.175,0.609,2.852,8.023,2.866,0.111,"2Non_social","2Lab","3 _ 13","1.D1A _ N2",12H 16M 0S,736,1,4,4,0.758897418004187,0.769284712482468,8.023,8.35,736,0.385,0,0,0,0,0,0,0,0,0,0,0,1.79,1.809,1.324575,0.46216852756455,2.2,NA,NA,2.34166666666667,2.189
"63","14",3,13,"E",272,13,"08. May",2023,"Y",12:16:00,"CB","MVI_5663",NA,"Y","12:06",11.13,NA,5,"1.D1A",0.278,2.476,3.814,2.296,0.688,3.572,-4.162,3.516,0.131,"1Social","1Wild","3 _ 14","1.D1A _ CB",12H 16M 0S,736,1,4,4,0.653014789533561,0.693169092945129,4.162,3.814,736,0.278,0,0,0,0,0,0,0,0,0,0,0,2.018,2.198,1.579648,0.44927417519909,2.226,NA,NA,2.577,2.712
"64","15",3,14,"E",273,14,"08. May",2023,"Y",12:16:00,"N2","MVI_5664",NA,"Y","12:06",11,NA,5,"1.D1A",0.396,2.315,-10.446,2.393,0.629,4.324,-8.508,4.358,0.179,"2Non_social","2Lab","3 _ 15","1.D1A _ N2",12H 16M 0S,736,1,4,4,0.549105094079853,0.535383903792784,8.508,10.446,736,0.396,0,0,0,0,0,0,0,0,0,0,0,1.997,1.919,1.505197,0.345387104176228,2.2,NA,NA,3.031,2.861
"65","17",3,16,"E",275,16,"08. May",2023,"Y",12:16:00,"CB","MVI_5666",NA,"Y","12:06",11.13,NA,5,"1.D1A",0.503,3.003,5.418,2.978,0.864,3.221,-4.999,3.205,0.139,"1Social","1Wild","3 _ 17","1.D1A _ CB",12H 16M 0S,736,1,4,4,0.929173166926677,0.932319155541757,4.999,5.418,736,0.503,0,0,0,0,0,0,0,0,0,0,0,2.475,2.5,2.572992,0.802805616224649,2.226,NA,NA,3.23133333333333,3.23
"66","20",3,18,"E",277,18,"08. May",2023,"Y",12:16:00,"CB","MVI_5668",NA,"Y","12:06",11.13,NA,5,"1.D1A",0.111,4.711,-5.839,4.777,0.241,5.018,-4.868,5.039,0.193,"1Social","1Wild","3 _ 20","1.D1A _ CB",12H 16M 0S,736,1,4,4,0.948005556658067,0.938820247110403,4.868,5.839,736,0.111,0,0,0,0,0,0,0,0,0,0,0,4.666,4.6,1.151257,0.228469339154594,2.226,NA,NA,4.55366666666667,4.533
"67","21",3,74,"E",333,74,"08. May",2023,"Y",13:30:00,"N2","MVI_5725",NA,"Y","12:06",11,NA,5,"1.D1A",0.361,3.096,-12.117,3.092,0.835,4.359,-13.294,4.454,0.172,"2Non_social","2Lab","3 _ 21","1.D1A _ N2",13H 30M 0S,810,1,3,3,0.694207453973956,0.710254645560908,13.294,12.117,736,0.361,0,74,0,0,0,0,0,0,0,0,0,2.731,2.735,2.58182,0.579663224068253,2.2,NA,NA,3.74733333333333,3.8
"68","22",3,19,"E",278,19,"08. May",2023,"Y",12:16:00,"N2","MVI_5669",NA,"Y","12:06",11,NA,5,"1.D1A",0.278,2.236,2.138,2.234,0.278,4.441,1.342,4.418,0.162,"2Non_social","2Lab","3 _ 22","1.D1A _ N2",12H 16M 0S,736,1,4,4,0.505658669081032,0.503490204908804,1.342,2.138,736,0.278,0,0,0,0,0,0,0,0,0,0,0,1.956,1.958,0.621052,0.140573110004527,2.2,NA,NA,3.14666666666667,3.389
"69","23",3,20,"E",279,20,"08. May",2023,"Y",12:16:00,"CB","MVI_5670",NA,"Y","12:06",11.13,NA,5,"1.D1A",0.42,3.126,-13.658,3.19,0.876,4.069,0.68,4.069,0.162,"1Social","1Wild","3 _ 23","1.D1A _ CB",12H 16M 0S,736,1,4,4,0.783976406979602,0.76824772671418,0.68,13.658,736,0.42,0,0,0,0,0,0,0,0,0,0,0,2.77,2.706,2.79444,0.686763332514131,2.226,NA,NA,4.392,4.951
"70","24",3,21,"E",280,21,"08. May",2023,"Y",12:16:00,"CB","MVI_5671",NA,"Y","12:06",11.13,NA,5,"1.D1A",0.271,3.048,-4.17,3.007,0.94,4.576,-5.253,4.557,0.146,"1Social","1Wild","3 _ 24","1.D1A _ CB",12H 16M 0S,736,1,4,4,0.659863945578231,0.666083916083916,5.253,4.17,736,0.271,0,0,0,0,0,0,0,0,0,0,0,2.736,2.777,2.82658,0.620272108843537,2.226,NA,NA,3.69333333333333,3.68
"71","25",3,22,"E",281,22,"08. May",2023,"Y",12:16:00,"CB","MVI_5673",NA,"Y","12:06",11.13,NA,5,"1.D1A",0.312,3.506,-12.945,3.58,0.853,4.179,-8.977,4.221,0.181,"1Social","1Wild","3 _ 25","1.D1A _ CB",12H 16M 0S,736,1,4,4,0.848140251125326,0.838956688202919,8.977,12.945,736,0.312,0,0,0,0,0,0,0,0,0,0,0,3.268,3.194,3.05374,0.723463634209903,2.226,NA,NA,3.31866666666667,3.48
"72","27",3,80,"E",339,80,"08. May",2023,"Y",13:30:00,"N2","MVI_5732",NA,"Y","12:06",11,NA,5,"1.D1A",0.361,2.638,1.654,2.646,0.858,2.707,-8.243,2.718,0.139,"2Non_social","2Lab","3 _ 27","1.D1A _ N2",13H 30M 0S,810,1,3,3,0.973509933774834,0.974510528260067,8.243,1.654,736,0.361,0,74,0,0,0,0,0,0,0,0,0,2.285,2.277,2.270268,0.835271523178808,2.2,NA,NA,3.11733333333333,3.087
"73","28",3,24,"E",283,24,"08. May",2023,"Y",12:16:00,"CB","MVI_5675",NA,"Y","12:06",11.13,NA,5,"1.D1A",0.281,2.545,2.631,2.571,0.948,3.445,-5.676,3.451,0.132,"1Social","1Wild","3 _ 28","1.D1A _ CB",12H 16M 0S,736,1,4,4,0.745001448855404,0.738751814223512,5.676,2.631,736,0.281,0,0,0,0,0,0,0,0,0,0,0,2.29,2.264,2.437308,0.706261373514923,2.226,NA,NA,3.14833333333333,3.192
"74","3",3,3,"E",262,3,"08. May",2023,"Y",12:16:00,"CB","MVI_5653",NA,"Y","12:06",NA,NA,5,"1.D1A",0.34,3.055,0,3.055,0.599,3.348,1.821,3.364,0.149,"1Social","1Wild","3 _ 3","1.D1A _ CB",12H 16M 0S,736,1,4,4,0.908145065398335,0.912485065710872,1.821,0,736,0.34,0,0,0,0,0,0,0,0,0,0,0,2.715,2.715,1.829945,0.543978894173603,NA,NA,NA,3.169,3.219
"75","34",3,30,"E",289,30,"08. May",2023,"Y",12:16:00,"N2","MVI_5681",NA,"Y","12:06",11,NA,5,"1.D1A",0.299,1.104,-5.747,1.075,0.353,4.649,-4.281,4.62,0.195,"2Non_social","2Lab","3 _ 34","1.D1A _ N2",12H 16M 0S,736,1,4,4,0.232683982683983,0.237470423747042,4.281,5.747,736,0.299,0,0,0,0,0,0,0,0,0,0,0,0.776,0.805,0.379475,0.0821374458874459,2.2,NA,NA,2.58733333333333,3.013
"76","36",3,32,"E",291,32,"08. May",2023,"Y",12:16:00,"CB","MVI_5683",NA,"Y","12:06",11.13,NA,5,"1.D1A",0.368,3.091,-9.218,3.077,0.842,3.865,-7.5,3.857,0.145,"1Social","1Wild","3 _ 36","1.D1A _ CB",12H 16M 0S,736,1,4,4,0.797770287788437,0.79974126778784,7.5,9.218,736,0.368,0,0,0,0,0,0,0,0,0,0,0,2.709,2.723,2.590834,0.671722582317864,2.226,NA,NA,3.20833333333333,3.203
"77","37",3,33,"E",292,33,"08. May",2023,"Y",12:16:00,"N2","MVI_5684",NA,"Y","12:06",11,NA,5,"1.D1A",0.208,1.896,4.612,1.856,0.364,4.262,3.175,4.234,0.152,"2Non_social","2Lab","3 _ 37","1.D1A _ N2",12H 16M 0S,736,1,4,4,0.438356164383562,0.444861567339277,3.175,4.612,736,0.208,0,0,0,0,0,0,0,0,0,0,0,1.648,1.688,0.675584,0.159561643835616,2.2,NA,NA,2.73733333333333,2.826
"78","38",3,34,"E",293,34,"08. May",2023,"Y",12:16:00,"N2","MVI_5685",NA,"Y","12:06",11,NA,5,"1.D1A",0.403,2.288,0.518,2.305,0.691,3.848,0.977,3.842,0.141,"2Non_social","2Lab","3 _ 38","1.D1A _ N2",12H 16M 0S,736,1,4,4,0.599947943779282,0.594594594594595,0.977,0.518,736,0.403,0,0,0,0,0,0,0,0,0,0,0,1.902,1.885,1.592755,0.414564029151484,2.2,NA,NA,2.86766666666667,2.996
"79","39",3,35,"E",294,35,"08. May",2023,"Y",12:16:00,"N2","MVI_5686",NA,"Y","12:06",11,NA,5,"1.D1A",0.309,2.968,-1.667,2.983,0.608,4.938,-0.92,4.942,0.152,"2Non_social","2Lab","3 _ 39","1.D1A _ N2",12H 16M 0S,736,1,4,4,0.603601780655605,0.601053057918186,0.92,1.667,736,0.309,0,0,0,0,0,0,0,0,0,0,0,2.674,2.659,1.813664,0.366989882638608,2.2,NA,NA,3.71666666666667,3.854
"80","4",3,4,"E",263,4,"08. May",2023,"Y",12:16:00,"N2","MVI_5654",NA,"Y","12:06",11,NA,5,"1.D1A",0.24,1.347,-15.229,1.335,0.495,3.148,-16.498,3.193,0.16,"2Non_social","2Lab","3 _ 4","1.D1A _ N2",12H 16M 0S,736,1,4,4,0.418102098340119,0.427890724269377,16.498,15.229,736,0.24,0,0,0,0,0,0,0,0,0,0,0,1.095,1.107,0.660825,0.206960538678359,2.2,NA,NA,2.16266666666667,1.945
"81","40",3,36,"E",295,36,"08. May",2023,"Y",12:16:00,"N2","MVI_5687",NA,"Y","12:06",11,NA,5,"1.D1A",0.177,1.708,-2.687,1.703,0.349,4.69,-3.366,4.698,0.124,"2Non_social","2Lab","3 _ 40","1.D1A _ N2",12H 16M 0S,736,1,4,4,0.362494678586633,0.364179104477612,3.366,2.687,736,0.177,0,0,0,0,0,0,0,0,0,0,0,1.526,1.531,0.594347,0.126510642826735,2.2,NA,NA,2.865,3.097
"82","42",3,37,"E",296,37,"08. May",2023,"Y",12:16:00,"N2","MVI_5688",NA,"Y","12:06",11,NA,5,"1.D1A",0.42,2.892,0,2.895,0.83,3.114,2.225,3.109,0.145,"2Non_social","2Lab","3 _ 42","1.D1A _ N2",12H 16M 0S,736,1,4,4,0.931167577999357,0.928709055876686,2.225,0,736,0.42,0,0,0,0,0,0,0,0,0,0,0,2.475,2.472,2.40285,0.772869089739466,2.2,NA,NA,3.52666666666667,3.831
"83","43",3,38,"E",297,38,"08. May",2023,"Y",12:16:00,"CB","MVI_5689",NA,"Y","12:06",11.13,NA,5,"1.D1A",0.299,2.477,-5.361,2.378,0.789,4.607,-4.425,4.603,0.141,"1Social","1Wild","3 _ 43","1.D1A _ CB",12H 16M 0S,736,1,4,4,0.516619595915707,0.537660082483178,4.425,5.361,736,0.299,0,0,0,0,0,0,0,0,0,0,0,2.079,2.178,1.876242,0.407612861177493,2.226,NA,NA,2.75866666666667,2.625
"84","47",3,41,"E",300,41,"08. May",2023,"Y",12:16:00,"N2","MVI_5692",NA,"Y","12:06",11,NA,5,"1.D1A",0.25,2.999,-2.846,3.006,0.389,4.924,-1.37,4.905,0.166,"2Non_social","2Lab","3 _ 47","1.D1A _ N2",12H 16M 0S,736,1,3,3,0.612844036697248,0.609057676685621,1.37,2.846,736,0.25,0,0,0,0,0,0,0,0,0,0,0,2.756,2.749,1.169334,0.238396330275229,2.2,NA,NA,2.499,3.006
"85","5",3,5,"E",264,5,"08. May",2023,"Y",12:16:00,"N2","MVI_5655",NA,"Y","12:06",11,NA,5,"1.D1A",0.222,1.611,-3.453,1.614,0.581,2.386,-7.692,2.422,0.104,"2Non_social","2Lab","3 _ 5","1.D1A _ N2",12H 16M 0S,736,1,4,4,0.666391412056152,0.675188600167645,7.692,3.453,736,0.222,0,0,0,0,0,0,0,0,0,0,0,1.392,1.389,0.937734,0.387173410404624,2.2,NA,NA,2.318,2.247
"86","6",3,6,"E",265,6,"08. May",2023,"Y",12:16:00,"CB","MVI_5656",NA,"Y","12:06",11.13,NA,5,"1.D1A",0.292,2.239,1.912,2.185,0.66,2.855,1.456,2.849,0.106,"1Social","1Wild","3 _ 6","1.D1A _ CB",12H 16M 0S,736,1,4,4,0.766935766935767,0.784238178633975,1.456,1.912,736,0.292,0,0,0,0,0,0,0,0,0,0,0,1.893,1.947,1.4421,0.506177606177606,2.226,NA,NA,2.656,2.185
"87","7",3,7,"E",266,7,"08. May",2023,"Y",12:16:00,"N2","MVI_5657",NA,"Y","12:06",11,NA,5,"1.D1A",0.375,2.128,-2.797,2.134,0.535,3.694,-8.625,3.725,0.128,"2Non_social","2Lab","3 _ 7","1.D1A _ N2",12H 16M 0S,736,1,4,4,0.572885906040268,0.576069301570114,8.625,2.797,736,0.375,0,0,0,0,0,0,0,0,0,0,0,1.759,1.753,1.14169,0.306493959731544,2.2,NA,NA,3.04666666666667,3.107
"88","8",3,8,"E",267,8,"08. May",2023,"Y",12:16:00,"CB","MVI_5658",NA,"Y","12:06",11.13,NA,5,"1.D1A",0.375,3.135,0.825,3.135,0.764,5.717,1.449,5.726,0.19,"1Social","1Wild","3 _ 8","1.D1A _ CB",12H 16M 0S,736,1,4,4,0.547502619629759,0.548364526849746,1.449,0.825,736,0.375,0,0,0,0,0,0,0,0,0,0,0,2.76,2.76,2.39514,0.418292001397136,2.226,NA,NA,3.84533333333333,3.77
"89","9",3,9,"E",268,9,"08. May",2023,"Y",12:16:00,"CB","MVI_5659",NA,"Y","12:06",11.13,NA,5,"1.D1A",0.5,4.107,0.242,4.103,0.736,4.942,1.564,4.926,0.176,"1Social","1Wild","3 _ 9","1.D1A _ CB",12H 16M 0S,736,1,4,4,0.832927324401137,0.831040064751113,1.564,0.242,736,0.5,0,0,0,0,0,0,0,0,0,0,0,3.603,3.607,3.019808,0.613034510759237,2.226,NA,NA,4.224,4.103
"90","15",4,15,"E",558,15,"09. May",2023,"Y",13:05:00,"N2","MVI_5968",NA,"Y","12:50",NA,NA,5,"1.D1A",0.298,1.568,11.563,1.626,0.4,4.586,8.8,4.459,0.202,"2Non_social","2Lab","4 _ 15","1.D1A _ N2",13H 5M 0S,785,1,3,3,0.364655752410854,0.341910161360663,8.8,11.563,785,0.298,0,0,0,0,0,0,0,0,0,0,0,1.328,1.27,0.6504,0.145862300964342,NA,NA,NA,3.15633333333333,3.414
"91","17",4,40,"E",583,40,"09. May",2023,"Y",13:05:00,"N2","MVI_5994",NA,"Y","12:50",NA,NA,5,"1.D1A",0.444,3.129,2.091,3.126,0.87,4.745,0.762,4.717,0.145,"2Non_social","2Lab","4 _ 17","1.D1A _ N2",13H 5M 0S,785,1,3,3,0.662709349162603,0.659430979978925,0.762,2.091,785,0.444,0,0,0,0,0,0,0,0,0,0,0,2.682,2.685,2.71962,0.576557133771465,NA,NA,NA,3.68466666666667,3.769
"92","19",4,41,"E",584,41,"09. May",2023,"Y",13:05:00,"N2","MVI_5995",NA,"Y","12:50",NA,NA,5,"1.D1A",0.399,3.051,-5.083,3.034,0.836,3.909,-4.721,3.954,0.159,"2Non_social","2Lab","4 _ 19","1.D1A _ N2",13H 5M 0S,785,1,3,3,0.767324228629236,0.780506523407521,4.721,5.083,785,0.399,0,0,0,0,0,0,0,0,0,0,0,2.635,2.652,2.536424,0.641483055134041,NA,NA,NA,3.76366666666667,3.799
"93","2",4,21,"E",564,21,"09. May",2023,"Y",13:05:00,"N2","MVI_5975",NA,"Y","12:50",NA,NA,5,"1.D1A",0.289,2.814,-7.825,2.812,0.856,3.434,-11.526,3.473,0.124,"2Non_social","2Lab","4 _ 2","1.D1A _ N2",13H 5M 0S,785,1,3,3,0.809674632882234,0.819452533488643,11.526,7.825,785,0.289,0,0,0,0,0,0,0,0,0,0,0,2.523,2.525,2.407072,0.693081485747193,NA,NA,NA,3.53333333333333,3.607
"94","26",4,33,"E",576,33,"09. May",2023,"Y",13:05:00,"CB","MVI_5987",NA,"Y","12:50",NA,NA,5,"1.D1A",0.354,2.631,4.035,2.605,0.71,4.246,7.436,4.302,0.213,"1Social","1Wild","4 _ 26","1.D1A _ CB",13H 5M 0S,785,1,3,3,0.605532310553231,0.619642016015073,7.436,4.035,785,0.354,0,0,0,0,0,0,0,0,0,0,0,2.251,2.277,1.84955,0.429927940492794,NA,NA,NA,2.93133333333333,2.846
"95","27",4,38,"E",581,38,"09. May",2023,"Y",13:05:00,"CB","MVI_5992",NA,"Y","12:50",NA,NA,5,"1.D1A",0.31,3.145,3.586,3.126,0.94,4.227,1.587,4.248,0.138,"1Social","1Wild","4 _ 27","1.D1A _ CB",13H 5M 0S,785,1,3,3,0.735875706214689,0.744026496333097,1.587,3.586,785,0.31,0,0,0,0,0,0,0,0,0,0,0,2.816,2.835,2.93844,0.691723163841808,NA,NA,NA,3.17666666666667,3.126
"96","3",4,10,"E",553,10,"09. May",2023,"Y",13:05:00,"N2","MVI_5963",NA,"Y","12:50",NA,NA,5,"1.D1A",0.334,2.7,3.453,2.705,0.706,3.446,3.889,3.411,0.126,"2Non_social","2Lab","4 _ 3","1.D1A _ N2",13H 5M 0S,785,1,3,3,0.793022574025213,0.783517121300058,3.889,3.453,785,0.334,0,0,0,0,0,0,0,0,0,0,0,2.371,2.366,1.90973,0.5598739372618,NA,NA,NA,3.10033333333333,3.166
"97","33",4,28,"E",571,28,"09. May",2023,"Y",13:05:00,"CB","MVI_5982",NA,"Y","12:50",NA,NA,5,"1.D1A",0.546,4.261,2.44,4.305,0.723,6.219,0.723,6.214,0.2,"1Social","1Wild","4 _ 33","1.D1A _ CB",13H 5M 0S,785,1,3,3,0.692790473125201,0.685158385592539,0.723,2.44,785,0.546,0,0,0,0,0,0,0,0,0,0,0,3.759,3.715,3.112515,0.50088751206952,NA,NA,NA,4.452,4.305
"98","38",4,42,"E",585,42,"09. May",2023,"Y",13:05:00,"N2","MVI_5996",NA,"Y","12:50",NA,NA,5,"1.D1A",0.228,1.76,-4.797,1.753,0.243,3.058,-4.41,3.059,0.129,"2Non_social","2Lab","4 _ 38","1.D1A _ N2",13H 5M 0S,785,1,3,3,0.573063092513893,0.575539568345324,4.41,4.797,785,0.228,0,0,0,0,0,0,0,0,0,0,0,1.525,1.532,0.425979,0.139254331480876,NA,NA,NA,2.81866666666667,3.027
"99","4",4,2,"E",545,2,"09. May",2023,"Y",13:05:00,"N2","MVI_5955",NA,"Y","12:50",NA,NA,5,"1.D1A",0.293,3.271,-14.138,3.352,0.858,3.368,-9.807,3.43,0.135,"2Non_social","2Lab","4 _ 4","1.D1A _ N2",13H 5M 0S,785,1,3,3,0.977259475218659,0.971199524940618,9.807,14.138,785,0.293,0,0,0,0,0,0,0,0,0,0,0,3.059,2.978,2.876016,0.838488629737609,NA,NA,NA,3.34033333333333,3.352
