"","Plate","Day","Day_number_by_exp","Exp_day_after","Number","Day_number","Date.x","Year","Dark_condition","Time","Strain","Video_1","OBS","USE","Time_dry","Num_Adults","Num_other","Microliters_counting","Treatment","Height_base","Height","Angle_length","Length","Width","Pillar_height","Pillar_angle","Pillar_length","Pillar_width","Sociality","Procedence","Conc","Conc_T","Timehms","Time_minutes","Filming_number","count_all","count","Corrected_length","Corrected_height","Pillar_angle_absolute","Angle_length_absolute","Zero_time_minutes","First_base","Time_Span_from_first","Time_Span_from_zero","Time_Span","Tw_height_Span","Tw_length_Span","Corrected_height_Span","Corrected_length_Span","growth_length","growth_height","growth_corrected_length","growth_corrected_height","Length_nobase","Height_nobase","Tw_area","Tw_area_corrected","Num_Adults_1mu","Num_Other_1mu","Prop_A_others","Mean_height","Median_height"
"12","29",12,16,"E",2381,16,"14. Aug",2023,"Y",19:25:00,"CB","MVI_7944",NA,"Y","18:20",41,NA,2,"2.DAU",0.15,1.393,7.616,1.405,0.207,2.67,0.815,2.67,0.102,"1Social","1Wild","12 _ 29","2.DAU _ CB",19H 25M 0S,1165,1,3,3,0.52621722846442,0.521722846441948,0.815,7.616,1100,0.15,0,65,0,0,0,0,0,0,0,0,0,1.255,1.243,0.290835,0.108926966292135,20.5,NA,NA,1.22666666666667,1.147
"13","30",12,2,"E",2367,2,"14. Aug",2023,"Y",18:20:00,"CB","MVI_7903",NA,"Y","18:20",41,NA,2,"2.DAU",0.344,0.935,-3.013,0.924,0.065,2.746,-6.254,2.788,0.178,"1Social","1Wild","12 _ 30","2.DAU _ CB",18H 20M 0S,1100,1,4,4,0.33142037302726,0.340495265841224,6.254,3.013,1100,0.344,0,0,0,0,0,0,0,0,0,0,0,0.58,0.591,0.06006,0.0215423242467719,20.5,NA,NA,1.596,1.923
"14","31",12,3,"E",2368,3,"14. Aug",2023,"Y",18:20:00,"CB","MVI_7904",NA,"Y","18:20",41,NA,2,"2.DAU",0.429,1.13,4.289,1.137,0.231,2.67,2.442,2.672,0.129,"1Social","1Wild","12 _ 31","2.DAU _ CB",18H 20M 0S,1100,1,4,4,0.425523952095808,0.423220973782772,2.442,4.289,1100,0.429,0,0,0,0,0,0,0,0,0,0,0,0.708,0.701,0.262647,0.0982960329341317,20.5,NA,NA,1.383,1.137
"15","32",12,4,"E",2369,4,"14. Aug",2023,"Y",18:20:00,"CB","MVI_7905",NA,"Y","18:20",41,NA,2,"2.DAU",0.089,0.51,-8.005,0.523,0.15,2.468,-8.13,2.505,0.139,"1Social","1Wild","12 _ 32","2.DAU _ CB",18H 20M 0S,1100,1,4,4,0.208782435129741,0.206645056726094,8.13,8.005,1100,0.089,0,0,0,0,0,0,0,0,0,0,0,0.434,0.421,0.07845,0.0313173652694611,20.5,NA,NA,1.71366666666667,2.282
"16","33",12,5,"E",2370,5,"14. Aug",2023,"Y",18:20:00,"CB","MVI_7906",NA,"Y","18:20",41,NA,2,"2.DAU",0.316,0.899,0.528,0.879,0.186,3.252,-1.337,3.253,0.165,"1Social","1Wild","12 _ 33","2.DAU _ CB",18H 20M 0S,1100,1,4,4,0.270212111896711,0.276445264452645,1.337,0.528,1100,0.316,0,0,0,0,0,0,0,0,0,0,0,0.563,0.583,0.163494,0.0502594528127882,20.5,NA,NA,1.41333333333333,1.527
"17","35",12,6,"E",2371,6,"14. Aug",2023,"Y",18:20:00,"CB","MVI_7908",NA,"Y","18:20",41,NA,2,"2.DAU",0.283,0.778,-1.206,0.769,0.146,2.025,-2.148,2.026,0.14,"1Social","1Wild","12 _ 35","2.DAU _ CB",18H 20M 0S,1100,1,3,3,0.379565646594274,0.384197530864198,2.148,1.206,1100,0.283,0,0,0,0,0,0,0,0,0,0,0,0.486,0.495,0.112274,0.0554165844027641,20.5,NA,NA,1.08166666666667,0.836
"18","36",12,21,"E",2386,21,"14. Aug",2023,"Y",19:25:00,"CB","MVI_7949",NA,"Y","18:20",41,NA,2,"2.DAU",0.328,1.344,2.759,1.346,0.244,2.809,2.837,2.813,0.129,"1Social","1Wild","12 _ 36","2.DAU _ CB",19H 25M 0S,1165,1,3,3,0.478492712406683,0.478462086151655,2.837,2.759,1100,0.328,0,65,0,0,0,0,0,0,0,0,0,1.018,1.016,0.328424,0.116752221827231,20.5,NA,NA,1.35333333333333,1.346
"19","37",12,22,"E",2387,22,"14. Aug",2023,"Y",19:25:00,"CB","MVI_7950",NA,"Y","18:20",41,NA,2,"2.DAU",0.32,0.907,2.332,0.895,0.162,2.632,0.551,2.632,0.102,"1Social","1Wild","12 _ 37","2.DAU _ CB",19H 25M 0S,1165,1,3,3,0.340045592705167,0.344604863221884,0.551,2.332,1100,0.32,0,65,0,0,0,0,0,0,0,0,0,0.575,0.587,0.14499,0.0550873860182371,20.5,NA,NA,0.968666666666667,0.924
"20","38",12,23,"E",2388,23,"14. Aug",2023,"Y",19:25:00,"CB","MVI_7951",NA,"Y","18:20",41,NA,2,"2.DAU",0.292,1.405,1.166,1.393,0.312,1.987,-1.824,1.988,0.127,"1Social","1Wild","12 _ 38","2.DAU _ CB",19H 25M 0S,1165,1,3,3,0.700704225352113,0.707096124811273,1.824,1.166,1100,0.292,0,65,0,0,0,0,0,0,0,0,0,1.101,1.113,0.434616,0.218619718309859,20.5,NA,NA,1.52533333333333,1.494
"21","39",12,24,"E",2389,24,"14. Aug",2023,"Y",19:25:00,"CB","MVI_7952",NA,"Y","18:20",41,NA,2,"2.DAU",0.36,1.608,-7.161,1.591,0.317,2.316,-11.07,2.373,0.14,"1Social","1Wild","12 _ 39","2.DAU _ CB",19H 25M 0S,1165,1,3,3,0.670459334176148,0.694300518134715,11.07,7.161,1100,0.36,0,65,0,0,0,0,0,0,0,0,0,1.231,1.248,0.504347,0.212535608933839,20.5,NA,NA,1.81933333333333,1.773
